## [deutscher Satz.];[englischer Satz]
## 
Bei Andeo zu arbeiten ist eine grossartige Erfahrung!;Working at Andeo is a great experience!
Amerika ist ein schönes Land.;America is a beautiful country.
Der Himmel ist blau.;The sky is blue.
Nichts geht über Lasagne.;Nothing beats lasagna.
Ein Spiegel reflektiert den Asphalt.;A mirror reflects the asphalt.
Schwarz ist keine richtige Farbe.;Black is not a real color.
Ich esse gerne Fisch.;I like to eat fish.
Sieben Kinder essen sieben Sachen.;Seven Children eat seven things.
Dein Handy wurde gestern Abend von einem Dieb geklaut.;Your phone was stolen by a thief last night.
Als er das Gleischgewicht verlor, flog er von der Klippe.;When he lost his balance he fell off a cliff.
Heute ass ich einen Kuchen, der sehr lecker wahr.;Today I ate a cake that was very tasty.
